OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128
STRIDED_GEMM(ld=2N) | AMD Ryzen Threadripper 3970X 32-Core Processor | session=strided_gemm_amd_20260719_175453_session3 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenBLAS] requested=1 active=1
[STRIDED_GEMM] N=512 threads=8 rep=2 batches=1885 time=1.001 s | package=147.532 J | dram=NA | total=147.532 J | power=147.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=8 rep=3 batches=1885 time=1.002 s | package=147.528 J | dram=NA | total=147.528 J | power=147.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=8 rep=4 batches=1885 time=1.005 s | package=147.912 J | dram=NA | total=147.912 J | power=147.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=8 rep=5 batches=1885 time=1.003 s | package=147.719 J | dram=NA | total=147.719 J | power=147.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=8 rep=6 batches=1885 time=1.003 s | package=147.616 J | dram=NA | total=147.616 J | power=147.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=8 rep=7 batches=1885 time=1.007 s | package=148.314 J | dram=NA | total=148.314 J | power=147.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=8 rep=8 batches=1885 time=1.003 s | package=147.704 J | dram=NA | total=147.704 J | power=147.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=8 rep=9 batches=1885 time=1.003 s | package=147.730 J | dram=NA | total=147.730 J | power=147.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=8 rep=10 batches=1885 time=1.008 s | package=148.235 J | dram=NA | total=148.235 J | power=147.0 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=8 active=8
[STRIDED_GEMM] N=16384 threads=8 rep=1 batches=1 time=9.980 s | package=1847.161 J | dram=NA | total=1847.161 J | power=185.1 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=8 rep=2 batches=1 time=9.964 s | package=1846.583 J | dram=NA | total=1846.583 J | power=185.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=8 rep=3 batches=1 time=9.980 s | package=1849.206 J | dram=NA | total=1849.206 J | power=185.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=8 rep=4 batches=1 time=9.980 s | package=1849.310 J | dram=NA | total=1849.310 J | power=185.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=8 rep=5 batches=1 time=9.989 s | package=1849.904 J | dram=NA | total=1849.904 J | power=185.2 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=8 rep=6 batches=1 time=10.007 s | package=1852.540 J | dram=NA | total=1852.540 J | power=185.1 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=8 rep=7 batches=1 time=10.006 s | package=1851.597 J | dram=NA | total=1851.597 J | power=185.0 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=8 rep=8 batches=1 time=10.002 s | package=1852.417 J | dram=NA | total=1852.417 J | power=185.2 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=8 rep=9 batches=1 time=10.018 s | package=1853.070 J | dram=NA | total=1853.070 J | power=185.0 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=8 rep=10 batches=1 time=10.011 s | package=1852.355 J | dram=NA | total=1852.355 J | power=185.0 W | runtime=above | checksum=OK
[OpenBLAS] requested=1 active=1
[STRIDED_GEMM] N=4096 threads=1 rep=1 batches=1 time=1.093 s | package=87.837 J | dram=NA | total=87.837 J | power=80.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=1 rep=2 batches=1 time=1.102 s | package=88.188 J | dram=NA | total=88.188 J | power=80.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=1 rep=3 batches=1 time=1.103 s | package=88.379 J | dram=NA | total=88.379 J | power=80.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=1 rep=4 batches=1 time=1.092 s | package=87.480 J | dram=NA | total=87.480 J | power=80.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=1 rep=5 batches=1 time=1.091 s | package=87.220 J | dram=NA | total=87.220 J | power=80.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=1 rep=6 batches=1 time=1.091 s | package=86.750 J | dram=NA | total=86.750 J | power=79.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=1 rep=7 batches=1 time=1.097 s | package=85.855 J | dram=NA | total=85.855 J | power=78.3 W | runtime=in_range | checksum=OK
